Code,Product,Category,Serving,Price,kcal,Fat,Sat.,Trans,Chol.,Sodium,Carbs,Sugar,Added,Protein,Milk,Nuts,Soy,Gluten,Oats,Ingredients
IC-01,Moonlit Cocoa Swirl,Ice Cream,100,229,134,8.1,4.0,0.0,3,77,21.6,19.7,14.2,2.7,X,-,-,-,-,"milk cream, cane sugar, water, cocoa nib paste, date syrup, sunflower oil, emulsifier, stabilizer"
IC-02,Pistachio Ember Cream,Ice Cream,100,179,176,8.3,3.6,0.0,8,83,23.2,16.6,14.6,3.8,X,X,-,-,-,"milk cream, cane sugar, water, pistachio butter, date syrup, cardamom, emulsifier, stabilizer"
IC-03,Kesar Fig Velvet,Ice Cream,100,189,155,5.4,3.6,0.0,6,73,25.0,15.9,13.9,2.3,X,-,-,-,-,"milk cream, cane sugar, water, fig puree, saffron infusion, jaggery syrup, emulsifier, stabilizer"
IC-04,Berry Basil Drift,Ice Cream,100,229,133,5.1,2.2,0.0,5,66,19.9,18.4,14.3,2.7,X,-,-,-,-,"milk cream, cane sugar, water, blackberry puree, basil infusion, glucose syrup, emulsifier, stabilizer"
IC-05,Toasted Coconut Silk,Ice Cream,100,199,158,9.7,4.2,0.1,7,74,23.6,14.1,17.2,2.7,-,-,-,-,-,"coconut cream, cane sugar, water, toasted coconut, vanilla, tapioca syrup, stabilizer"
IC-06,Cardamom Pear Cloud,Ice Cream,100,189,152,9.8,5.2,0.1,8,61,19.1,16.8,10.0,2.5,X,-,-,X,X,"milk cream, cane sugar, pear puree, cardamom, oat crumble, emulsifier, stabilizer"
IC-07,Cocoa Nib Caramel,Ice Cream,100,209,162,9.4,4.3,0.1,7,81,22.6,17.1,10.7,3.5,X,-,-,-,-,"milk cream, cane sugar, cocoa nibs, caramelized date syrup, water, emulsifier, stabilizer"
IC-08,Guava Rose Sorbet Cream,Ice Cream,100,199,177,10.6,6.2,0.0,6,69,23.4,19.8,14.6,3.6,X,-,-,-,-,"milk cream, cane sugar, guava puree, rose infusion, water, glucose syrup, emulsifier, stabilizer"
IC-09,Hazelnut Honey Mist,Ice Cream,100,199,131,5.8,3.0,0.0,7,36,24.9,17.8,10.6,2.7,X,X,-,-,-,"milk cream, cane sugar, hazelnut butter, honey, water, emulsifier, stabilizer"
IC-10,Blueberry Lemon Crème,Ice Cream,100,209,177,7.5,4.3,0.0,5,36,19.0,16.1,14.4,2.5,X,-,-,-,-,"milk cream, cane sugar, blueberry puree, lemon zest, water, emulsifier, stabilizer"
IC-11,Roasted Banana Toffee,Ice Cream,100,179,149,8.7,4.3,0.0,8,102,19.1,18.7,10.9,3.1,X,-,-,-,-,"milk cream, cane sugar, roasted banana, toffee syrup, water, emulsifier, stabilizer"
IC-12,Saffron Almond Whisper,Ice Cream,100,199,138,7.3,4.4,0.0,6,57,19.9,15.0,10.2,2.6,X,X,-,-,-,"milk cream, cane sugar, almond butter, saffron, water, jaggery syrup, emulsifier, stabilizer"
IC-13,Blackberry Cocoa Veil,Ice Cream,100,199,180,8.6,3.8,0.0,3,100,21.0,19.5,12.3,3.1,X,-,-,-,-,"milk cream, cane sugar, blackberry puree, cocoa nibs, water, glucose syrup, emulsifier, stabilizer"
IC-14,Vanilla Chai Frost,Ice Cream,100,179,171,7.8,3.4,0.0,4,50,21.5,15.9,17.2,2.5,X,-,-,-,-,"milk cream, cane sugar, vanilla, black tea infusion, cinnamon, water, emulsifier, stabilizer"
